,None,beak,body,eye,feet,head,leg,tail,unknown,wing,bumper,door,headlight,hood,trunk,wheel,window,windshield,armrest,backrest,seat,ear,mouth,neck,paw,None_total_arclength,beak_total_arclength,body_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,leg_total_arclength,tail_total_arclength,unknown_total_arclength,wing_total_arclength,bumper_total_arclength,door_total_arclength,headlight_total_arclength,hood_total_arclength,trunk_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,armrest_total_arclength,backrest_total_arclength,seat_total_arclength,ear_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength
34,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,1,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,255,0,168,119,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,105,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,36,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,328,0,0,112,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,261,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,412,38,0,123,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,459,50,14,244,40,94,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,61,0,57,136,34,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,481,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,2,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,46,112,74,29,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,103,0,120,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,160,0,54,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,495,0,170,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,231,0,43,0,132,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,3,2,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,534,0,63,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1,1,1,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,173,5,121,108,0,291,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,1,1,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,355,64,46,0,87,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,1,1,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,151,21,55,0,88,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,555,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
